CONTAINER ID   IMAGE                                       COMMAND                  CREATED          STATUS          PORTS                                                                                                               NAMES
4dbd4f60301b   yg397/social-network-microservices:latest   "UrlShortenService"      39 minutes ago   Up 39 minutes   0.0.0.0:10004->9090/tcp, :::10004->9090/tcp                                                                         p12g3-tianji_url-shorten-service_1
d20fc4b9fdbf   yg397/social-network-microservices:latest   "TextService"            39 minutes ago   Up 39 minutes   0.0.0.0:10007->9090/tcp, :::10007->9090/tcp                                                                         p12g3-tianji_text-service_1
323491bf6c8d   yg397/social-network-microservices:latest   "UserService"            39 minutes ago   Up 39 minutes   0.0.0.0:10005->9090/tcp, :::10005->9090/tcp                                                                         p12g3-tianji_user-service_1
873caeaa9056   yg397/social-network-microservices:latest   "UserMentionService"     39 minutes ago   Up 39 minutes   0.0.0.0:10009->9090/tcp, :::10009->9090/tcp                                                                         p12g3-tianji_user-mention-service_1
5f66ffdbdad0   yg397/social-network-microservices:latest   "UniqueIdService"        39 minutes ago   Up 39 minutes   0.0.0.0:10008->9090/tcp, :::10008->9090/tcp                                                                         p12g3-tianji_unique-id-service_1
221fbbe8abae   yg397/social-network-microservices:latest   "PostStorageService"     39 minutes ago   Up 39 minutes   0.0.0.0:10002->9090/tcp, :::10002->9090/tcp                                                                         p12g3-tianji_post-storage-service_1
4d03f0d7cbaf   yg397/social-network-microservices:latest   "UserTimelineService"    39 minutes ago   Up 39 minutes   0.0.0.0:10003->9090/tcp, :::10003->9090/tcp                                                                         p12g3-tianji_user-timeline-service_1
7872ec2c55c6   yg397/openresty-thrift:xenial               "/usr/local/openrest…"   39 minutes ago   Up 39 minutes   0.0.0.0:8080->8080/tcp, :::8080->8080/tcp                                                                           p12g3-tianji_nginx-thrift_1
c0744f246e7e   yg397/social-network-microservices:latest   "ComposePostService"     39 minutes ago   Up 39 minutes   0.0.0.0:10001->9090/tcp, :::10001->9090/tcp                                                                         p12g3-tianji_compose-post-service_1
e4a7d110d47d   yg397/social-network-microservices:latest   "SocialGraphService"     39 minutes ago   Up 39 minutes   0.0.0.0:10000->9090/tcp, :::10000->9090/tcp                                                                         p12g3-tianji_social-graph-service_1
f1c22d86b6ec   yg397/social-network-microservices:latest   "MediaService"           39 minutes ago   Up 39 minutes   0.0.0.0:10006->9090/tcp, :::10006->9090/tcp                                                                         p12g3-tianji_media-service_1
3752489a7764   yg397/media-frontend:xenial                 "/usr/local/openrest…"   39 minutes ago   Up 39 minutes   0.0.0.0:8081->8080/tcp, :::8081->8080/tcp                                                                           p12g3-tianji_media-frontend_1
b0caa4efde48   yg397/social-network-microservices:latest   "HomeTimelineService"    39 minutes ago   Up 39 minutes   0.0.0.0:10010->9090/tcp, :::10010->9090/tcp                                                                         p12g3-tianji_home-timeline-service_1
1981101fc2df   mongo                                       "docker-entrypoint.s…"   39 minutes ago   Up 39 minutes   0.0.0.0:27023->27017/tcp, :::27023->27017/tcp                                                                       p12g3-tianji_user-mongodb_1
